Nanoparticle,Size (nm),Shape,Bacterium,Gram +/-,MIC (μg/mL),Synthesis Method,Reagent Used,Year of study,Link
AgNP,16±6,Irregular,Citrobacter amalonaticus UPMR bio1,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Pseudomonas sp UPMR 040,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Citrobacter agriculturist UPMR bio2,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Acinetobacter brisouii UPMR Skb1,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Bacillus pumilus UMPR Skb2,+,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Bacillus cereus UPMR Skb7,+,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Chromobacterium violaceum UPMR Skb10,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Burkholderia sp UPMR 9,-,40,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Enterobacter sp UPMR rubber,-,36,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Bacillus pumilus UPMR Sm1,+,28,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Paenibacillus sp UPMR 1004,+,14,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,16±6,Spherical,Bacillus cereus UPMR1021,+,12,"Unspecified, purchased and purified by Nano Nasb Pars Co, Tehran, Iran",Unspecified,2019,https://doi.org/10.7717/peerj.6418
AgNP,10-15,Spherical,Acinetobacter baumannii,-,15.62,Green synthesis,Penicillium polonicum,2018,https://doi.org/10.1016/j.micpath.2018.01.033
AgNP,20-70,Spherical,Klebsiella pneumoniae (ATCC 100603),-,4,Green synthesis,Streptomyces,2014,https://doi.org/10.1007/s00449-013-1070-8
AgNP,20-70,Spherical,Klebsiella pneumoniae,-,1.4,Green synthesis,Streptomyces,2014,https://doi.org/10.1007/s00449-013-1070-8
AgNP,20-70,Spherical,Escherichia coli,-,2,Green synthesis,Streptomyces,2014,https://doi.org/10.1007/s00449-013-1070-8
AgNP,20-70,Spherical,Citrobacter,-,2,Green synthesis,Streptomyces,2014,https://doi.org/10.1007/s00449-013-1070-8
AgNP,24-46,Spherical,Escherichia coli,-,6.25,Green synthesis,Bacillus cereus,2017,https://doi.org/10.1080%2F20477724.2017.1390829
AgNP,24-46,Spherical,Staphylococcus aureus,+,12.5,Green synthesis,Bacillus cereus,2017,https://doi.org/10.1080%2F20477724.2017.1390829
AgNP,24-46,Spherical,Klebsiella pneumoniae,-,3.12,Green synthesis,Bacillus cereus,2017,https://doi.org/10.1080%2F20477724.2017.1390829
AgNP,24-46,Spherical,Pseudomonas aeruginosa,-,3.12,Green synthesis,Bacillus cereus,2017,https://doi.org/10.1080%2F20477724.2017.1390829
AgNP,23–48,Spherical,Escherichia coli (MTCC 9537),-,14,Green synthesis,Streptomyces sp. GUT 21,2016,https://doi.org/10.1007/s40097-016-0197-y
AgNP,23–48,Spherical,Klebsiella pneumoniae (MTCC 109),-,12,Green synthesis,Streptomyces sp. GUT 22,2016,https://doi.org/10.1007/s40097-016-0197-y
AgNP,23–48,Spherical,Staphylococcus aureus (MTCC 96),+,15,Green synthesis,Streptomyces sp. GUT 23,2016,https://doi.org/10.1007/s40097-016-0197-y
AgNP,23–48,Spherical,Pseudomonas aeruginosa (MTCC 1688),-,10,Green synthesis,Streptomyces sp. GUT 24,2016,https://doi.org/10.1007/s40097-016-0197-y
AgNP,24 ± 8,Spherical,Pseudomonas aeruginosa,-,6.25–12.5,Green synthesis,Phyllanthus amarus,2014,https://doi.org/10.1186/s12951-014-0040-x
AgNP,16 ± 2,Triangular,Escherichia coli (MC-2),-,4,Green synthesis,Ocimum gratissimum,2015,https://doi.org/10.1016/j.arabjc.2015.08.008
AgNP,16 ± 2,Triangular,Staphylococcus aureus (MMC-20),+,8,Green synthesis,Ocimum gratissimum,2015,https://doi.org/10.1016/j.arabjc.2015.08.008
AgNP,17.2,Spherical,Bacillus subtilis,+,0.125,Green synthesis,Syzigyum cymosum at pH=8,2022,https://doi.org/10.1021/acsomega.2c01922
AgNP,17.2,Spherical,Escherichia coli K12,-,0.125,Green synthesis,Syzigyum cymosum at pH=8,2022,https://doi.org/10.1021/acsomega.2c01922
AgNP,17.2,Spherical,Escherichia coli DH5α,-,0.125,Green synthesis,Syzigyum cymosum at pH=8,2022,https://doi.org/10.1021/acsomega.2c01922
AgNP,17.2,Spherical,Enteropathogenic Escherichia coli (EPEC),-,0.125,Green synthesis,Syzigyum cymosum at pH=8,2022,https://doi.org/10.1021/acsomega.2c01922
AgNP,17.2,Spherical,Salmonella typhi,-,0.125,Green synthesis,Syzigyum cymosum at pH=8,2022,https://doi.org/10.1021/acsomega.2c01922
AgNP,5,Spherical,Escherichia coli MTCC 443,-,20,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,7,Spherical,Escherichia coli MTCC 443,-,20,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,10,Spherical,Escherichia coli MTCC 443,-,30,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,15,Spherical,Escherichia coli MTCC 443,-,30,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,20,Spherical,Escherichia coli MTCC 443,-,40,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,30,Spherical,Escherichia coli MTCC 443,-,50,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,50,Spherical,Escherichia coli MTCC 443,-,80,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,63,Spherical,Escherichia coli MTCC 443,-,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,85,Spherical,Escherichia coli MTCC 443,-,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,100,Spherical,Escherichia coli MTCC 443,-,110,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,5,Spherical,Escherichia coli MTCC 739,-,60,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,7,Spherical,Escherichia coli MTCC 739,-,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,10,Spherical,Escherichia coli MTCC 739,-,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,15,Spherical,Escherichia coli MTCC 739,-,90,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,20,Spherical,Escherichia coli MTCC 739,-,100,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,30,Spherical,Escherichia coli MTCC 739,-,100,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,50,Spherical,Escherichia coli MTCC 739,-,120,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,63,Spherical,Escherichia coli MTCC 739,-,140,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,85,Spherical,Escherichia coli MTCC 739,-,160,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,100,Spherical,Escherichia coli MTCC 739,-,160,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
AgNP,5,Spherical,Bacillus subtilis MTCC 441,+,30,Chemical reduction,NaBH4 and sodium citrate,2014,https://doi.org/10.1039/C3RA44507K
